type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player9,1,0.40,0.65,-0.25,0.96,0.62,0.10,0.28,0.41,0.00,-0.59
Player8,1,0.39,0.64,-0.25,1.82,0.70,-0.38,0.16,0.16,0.00,-0.70
Player1,1,0.38,0.63,-0.25,0.34,0.60,1.05,0.50,0.70,0.00,-0.15
Player4,1,0.36,0.61,-0.25,0.38,0.55,1.30,0.70,0.80,0.00,-0.20
RandomPlayer,1,0.36,0.61,-0.25,2.54,0.57,-0.76,0.09,0.01,0.00,-0.86
Player10,1,0.36,0.61,-0.25,0.30,0.48,0.90,0.50,0.60,0.00,-0.20
Player2,1,0.35,0.61,-0.25,0.40,0.59,0.97,0.47,0.60,0.00,-0.10
Player5,1,0.35,0.60,-0.25,2.52,0.66,-0.69,0.08,0.09,0.00,-0.86
Player6,1,0.31,0.56,-0.25,0.40,0.54,1.38,0.48,0.90,0.00,0.00
Player7,1,0.31,0.56,-0.25,0.34,0.61,1.11,0.61,0.75,0.00,-0.25
