type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player5,1,1.02,0.68,0.33,2.90,0.69,-0.11,0.19,0.31,0.00,-0.61
Player4,1,0.97,0.64,0.33,0.60,0.39,0.74,0.34,0.40,0.00,0.00
Player9,1,0.96,0.63,0.33,1.20,0.66,0.41,0.44,0.20,0.00,-0.23
Player1,1,0.94,0.61,0.33,0.30,0.10,0.32,0.12,0.20,0.00,0.00
Player7,1,0.93,0.60,0.33,0.50,0.33,0.58,0.28,0.40,0.00,-0.10
RandomPlayer,1,0.93,0.60,0.33,2.20,0.59,-0.01,0.32,0.09,0.00,-0.41
Player2,1,0.92,0.59,0.33,0.60,0.39,0.73,0.33,0.50,0.00,-0.10
Player8,1,0.92,0.58,0.33,0.70,0.34,0.65,0.25,0.45,0.00,-0.05
Player6,1,0.90,0.57,0.33,0.40,0.27,0.59,0.29,0.30,0.00,0.00
Player10,1,0.90,0.57,0.33,0.60,0.31,0.44,0.34,0.40,0.00,-0.30
