type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player10,1,0.48,0.66,-0.17,0.42,0.53,1.21,0.51,0.95,0.00,-0.25
Player7,1,0.45,0.62,-0.17,0.35,0.69,0.83,0.63,0.25,0.00,-0.05
Player2,1,0.43,0.60,-0.17,0.44,0.56,1.27,0.67,0.65,0.00,-0.05
Player9,1,0.42,0.60,-0.17,0.95,0.57,0.16,0.35,0.26,0.00,-0.45
RandomPlayer,2,0.42,0.60,-0.17,1.97,0.60,-0.69,0.09,0.07,0.00,-0.85
Player1,1,0.42,0.60,-0.17,0.42,0.57,1.16,0.51,0.80,0.00,-0.15
Player8,1,0.40,0.58,-0.17,1.63,0.56,-0.35,0.21,0.09,0.00,-0.65
Player5,1,0.39,0.57,-0.17,2.00,0.66,-0.55,0.11,0.14,0.00,-0.79
Player6,1,0.39,0.56,-0.17,0.42,0.59,1.20,0.55,0.65,0.00,0.00
Player4,1,0.39,0.56,-0.17,0.44,0.57,1.08,0.53,0.80,0.00,-0.25
