type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player2,2,-0.15,0.66,-0.81,0.02,0.06,-0.08,0.02,-0.10,0.00,0.00
RandomPlayer,2,-0.17,0.64,-0.81,1.34,0.18,-0.21,0.04,0.03,0.00,-0.28
Player7,2,-0.17,0.64,-0.81,0.02,0.06,0.07,0.07,0.10,0.00,-0.10
Player6,2,-0.18,0.63,-0.81,0.20,0.42,0.35,0.55,-0.20,0.00,0.00
Player1,2,-0.19,0.62,-0.81,0.02,0.04,0.08,0.08,0.00,0.00,0.00
Player10,2,-0.20,0.61,-0.81,0.06,0.10,0.19,0.09,0.10,0.00,0.00
Player4,2,-0.21,0.60,-0.81,0.04,0.12,0.15,0.05,0.10,0.00,0.00
Player8,2,-0.21,0.60,-0.81,0.16,0.29,0.34,0.22,0.20,0.00,-0.08
Player5,2,-0.23,0.59,-0.81,8.02,0.61,-0.86,0.04,0.03,0.00,-0.92
Player9,2,-0.23,0.58,-0.81,0.12,0.26,0.70,0.30,0.50,0.00,-0.10
