type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player10,2,0.07,0.65,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player5,4,0.05,0.64,-0.58,5.95,0.61,-0.53,0.05,0.21,0.00,-0.79
Player2,4,0.04,0.62,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player1,4,0.04,0.62,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player8,2,0.04,0.62,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player7,4,0.02,0.60,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player6,4,-0.00,0.58,-0.58,0.85,0.63,0.13,0.53,-0.40,0.00,0.00
Player9,2,-0.01,0.57,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player4,4,-0.03,0.55,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RandomPlayer,4,-0.04,0.54,-0.58,1.70,0.15,-0.20,0.04,0.05,0.00,-0.28
